Value,yy,mm
2.065690596,1857,7
3.041923596,1857,8
2.709984627,1857,9
2.729568533,1857,10
2.085768213,1857,11
2.083628795,1857,12
1.742803012,1858,1
0.472317719,1858,2
1.456943821,1858,3
1.769628026,1858,4
1.282828091,1858,5
2.483535435,1858,6
1.284638368,1858,7
1.709395174,1858,8
0.693006939,1858,9
2.713605181,1858,10
1.335655264,1858,11
1.997064642,1858,12
2.6535369,1859,1
1.264725321,1859,2
0.026825013,1859,3
1.301424572,1859,4
0.462937193,1859,5
1.569674706,1859,6
3.887816654,1859,7
3.060849219,1859,8
3.251915725,1859,9
3.02744138,1859,10
1.777527416,1859,11
3.257181985,1859,12
2.164597547,1860,1
0.834702255,1860,2
1.300601719,1860,3
1.051935491,1860,4
2.458356128,1860,5
3.348354116,1860,6
1.544166257,1860,7
1.548445094,1860,8
2.955194872,1860,9
2.158837575,1860,10
2.036397023,1860,11
1.826075753,1860,12
0.937558901,1861,1
1.785920518,1861,2
1.10097754,1861,3
0.799484139,1861,4
2.569935018,1861,5
1.883840045,1861,6
2.571745295,1861,7
2.040346718,1861,8
2.167230677,1861,9
2.386767902,1861,10
2.320939649,1861,11
1.836443703,1861,12
2.513158149,1862,1
2.216931008,1862,2
0.992854634,1862,3
1.583663209,1862,4
1.767159466,1862,5
2.651726623,1862,6
2.863364458,1862,7
2.346612668,1862,8
2.620951914,1862,9
2.559073356,1862,10
1.746917278,1862,11
2.349081227,1862,12
1.217328978,1863,1
1.631882405,1863,2
1.860800157,1863,3
2.194220261,1863,4
2.545249423,1863,5
3.097054758,1863,6
3.275613896,1863,7
2.221538986,1863,8
2.342333831,1863,9
2.886898059,1863,10
2.181219181,1863,11
2.899569998,1863,12
0.846057629,1864,1
0.375221045,1864,2
-1.472907173,1864,3
1.001741448,1864,4
1.483933405,1864,5
1.682241019,1864,6
2.40701009,1864,7
1.995748076,1864,8
1.639288084,1864,9
3.026783097,1864,10
1.508783571,1864,11
1.128131695,1864,12
1.038440699,1865,1
0.684284695,1865,2
0.800142422,1865,3
1.947528881,1865,4
2.113251509,1865,5
1.102623247,1865,6
1.358366012,1865,7
2.269758182,1865,8
1.314754794,1865,9
1.844178523,1865,10
1.748562984,1865,11
1.506808723,1865,12
1.994925223,1866,1
2.233552642,1866,2
1.136524797,1866,3
1.230494629,1866,4
2.004964032,1866,5
2.014344558,1866,6
1.557167337,1866,7
1.970075058,1866,8
2.232071507,1866,9
1.740992735,1866,10
2.300697461,1866,11
1.553382213,1866,12
0.673752175,1867,1
1.540381133,1867,2
-0.2129544,1867,3
1.182110863,1867,4
2.262187933,1867,5
2.314685965,1867,6
3.312642288,1867,7
2.11621378,1867,8
2.530108925,1867,9
2.657815736,1867,10
1.327097591,1867,11
1.348985486,1867,12
1.752018968,1868,1
0.71407198,1868,2
0.720983947,1868,3
0.423769382,1868,4
1.245470557,1868,5
1.432258226,1868,6
2.447329896,1868,7
2.58869607,1868,8
2.204752781,1868,9
2.003318326,1868,10
0.842437075,1868,11
2.449140173,1868,12
1.134056238,1869,1
0.712755415,1869,2
1.238887731,1869,3
0.381145588,1869,4
2.476129757,1869,5
1.845495088,1869,6
1.666277668,1869,7
1.754322957,1869,8
2.504765047,1869,9
3.448577632,1869,10
2.945814346,1869,11
2.164268406,1869,12
2.567301888,1870,1
1.556673625,1870,2
2.342169261,1870,3
1.493807643,1870,4
1.693760963,1870,5
1.865572705,1870,6
2.369652557,1870,7
2.854477644,1870,8
2.026358214,1870,9
2.577340696,1870,10
3.587639818,1870,11
1.801719299,1870,12
0.848032476,1871,1
0.75044209,1871,2
-0.302645396,1871,3
0.865641534,1871,4
2.429227126,1871,5
2.397794135,1871,6
2.782231136,1871,7
1.733257916,1871,8
2.446836184,1871,9
1.18145258,1871,10
2.228450953,1871,11
2.224665828,1871,12
2.059107771,1872,1
1.576586672,1872,2
0.924557821,1872,3
0.736782728,1872,4
1.89535999,1872,5
2.063057466,1872,6
2.984817586,1872,7
2.795067645,1872,8
2.08494536,1872,9
2.005951456,1872,10
3.024479109,1872,11
1.780489687,1872,12
1.952136859,1873,1
1.591068888,1873,2
1.747246419,1873,3
1.193137095,1873,4
2.397300423,1873,5
1.893220572,1873,6
2.595772607,1873,7
2.315344247,1873,8
0.919291561,1873,9
2.199321951,1873,10
1.972049905,1873,11
1.141791058,1873,12
1.782299964,1874,1
1.069544549,1874,2
1.331047286,1874,3
1.432258226,1874,4
2.083135083,1874,5
1.78888279,1874,6
2.633788424,1874,7
2.705870361,1874,8
2.524678094,1874,9
1.92136215,1874,10
1.35523917,1874,11
1.894537137,1874,12
1.713509439,1875,1
1.045517237,1875,2
1.7837811,1875,3
1.501377892,1875,4
2.782560277,1875,5
3.613312836,1875,6
2.591493771,1875,7
2.734999364,1875,8
1.967771069,1875,9
2.508550172,1875,10
1.819492928,1875,11
2.459178981,1875,12
1.483439693,1876,1
2.716238311,1876,2
1.443284459,1876,3
2.891670607,1876,4
2.621939338,1876,5
2.558250503,1876,6
2.186979153,1876,7
1.665948526,1876,8
2.301355744,1876,9
2.588366929,1876,10
2.117530346,1876,11
2.255275966,1876,12
1.018527653,1877,1
1.091761585,1877,2
1.339604959,1877,3
0.970143886,1877,4
2.389565603,1877,5
0.460468633,1877,6
0.931140646,1877,7
1.400331523,1877,8
1.068063414,1877,9
0.748467243,1877,10
2.497523939,1877,11
1.425181689,1877,12
0.13247936,1878,1
-0.79718015,1878,2
0.480875392,1878,3
0.582086332,1878,4
2.707186927,1878,5
1.670227363,1878,6
2.476458898,1878,7
1.724700243,1878,8
3.057393235,1878,9
2.896443155,1878,10
3.020035701,1878,11
4.101593907,1878,12
2.111276661,1879,1
1.963327662,1879,2
0.783356217,1879,3
2.449633885,1879,4
3.08191426,1879,5
2.1446845,1879,6
2.874061549,1879,7
2.220386992,1879,8
2.654359753,1879,9
2.431037403,1879,10
2.586556652,1879,11
3.255700849,1879,12
1.184250281,1880,1
2.276176437,1880,2
1.818011792,1880,3
1.804352429,1880,4
2.008913727,1880,5
1.661340549,1880,6
1.593043736,1880,7
1.515201826,1880,8
2.246389152,1880,9
2.904342546,1880,10
1.929590682,1880,11
2.078197964,1880,12
0.882427739,1881,1
1.122865435,1881,2
1.20729017,1881,3
1.831012872,1881,4
2.213639596,1881,5
1.892397718,1881,6
2.093009321,1881,7
2.43548081,1881,8
1.710382597,1881,9
2.424125436,1881,10
2.989425564,1881,11
2.289177517,1881,12
0.982980396,1882,1
1.889600018,1882,2
1.107889507,1882,3
2.635598701,1882,4
3.030403651,1882,5
2.116542922,1882,6
2.380349648,1882,7
1.829038024,1882,8
2.125923448,1882,9
2.184016882,1882,10
2.28473411,1882,11
1.643237779,1882,12
2.252149124,1883,1
1.253040806,1883,2
1.254357371,1883,3
2.462799535,1883,4
3.176542374,1883,5
1.590081464,1883,6
2.236350343,1883,7
2.674931082,1883,8
1.739017888,1883,9
2.279467849,1883,10
2.606469699,1883,11
0.783520788,1883,12
1.532152601,1884,1
0.796357297,1884,2
0.803598405,1884,3
0.705678878,1884,4
1.786907942,1884,5
1.472413461,1884,6
1.971391623,1884,7
1.417117728,1884,8
1.618716754,1884,9
2.05367694,1884,10
2.022079378,1884,11
0.666675638,1884,12
0.557729878,1885,1
1.231317482,1885,2
0.70617259,1885,3
0.477583979,1885,4
1.222430668,1885,5
2.111112091,1885,6
1.556179914,1885,7
1.514049831,1885,8
1.666771379,1885,9
1.206796458,1885,10
1.450196425,1885,11
2.476623469,1885,12
1.411193185,1886,1
0.672271039,1886,2
0.996310617,1886,3
1.798427887,1886,4
3.177858939,1886,5
2.062399183,1886,6
2.090705332,1886,7
2.303659732,1886,8
3.082572542,1886,9
3.705307821,1886,10
2.525500947,1886,11
2.820576093,1886,12
3.633225883,1887,1
1.593372877,1887,2
1.286942357,1887,3
1.509770995,1887,4
2.220880704,1887,5
1.769134314,1887,6
2.188624859,1887,7
1.216999837,1887,8
2.319952225,1887,9
2.351714357,1887,10
2.519905545,1887,11
2.313204829,1887,12
0.21542296,1888,1
0.198965896,1888,2
0.169507753,1888,3
1.004539149,1888,4
1.656897141,1888,5
1.836114562,1888,6
1.319856483,1888,7
1.036465852,1888,8
1.124017429,1888,9
1.56556044,1888,10
1.542685122,1888,11
0.913696159,1888,12
-0.094792685,1889,1
0.314329911,1889,2
-0.250476505,1889,3
1.360670001,1889,4
2.207221341,1889,5
2.506246183,1889,6
2.957663431,1889,7
2.962765121,1889,8
3.044885867,1889,9
3.232167248,1889,10
3.033859635,1889,11
2.657322025,1889,12
2.394831864,1890,1
1.329237009,1890,2
1.957403119,1890,3
2.26136508,1890,4
2.517601556,1890,5
3.059368083,1890,6
2.873732408,1890,7
2.616673078,1890,8
1.845495088,1890,9
2.398123276,1890,10
1.729966503,1890,11
1.859319021,1890,12
1.583004927,1891,1
-0.532386,1891,2
0.836347961,1891,3
1.36560712,1891,4
2.290987794,1891,5
1.922843286,1891,6
1.914614754,1891,7
1.854711043,1891,8
1.674177058,1891,9
2.315179677,1891,10
2.390882168,1891,11
2.142545082,1891,12
1.027908179,1892,1
1.903753092,1892,2
2.387919897,1892,3
2.312381976,1892,4
1.978961872,1892,5
2.354182917,1892,6
1.961681955,1892,7
3.922705628,1892,8
3.212254202,1892,9
2.85859191,1892,10
2.403718678,1892,11
2.453254439,1892,12
2.553477955,1893,1
2.153406744,1893,2
1.112497485,1893,3
2.491928538,1893,4
2.643662662,1893,5
3.132766586,1893,6
3.483631177,1893,7
2.213968737,1893,8
3.506835636,1893,9
2.88986033,1893,10
3.180985781,1893,11
2.532577484,1893,12
2.545578564,1894,1
1.803365006,1894,2
